,cell_type
0,Adipocyte
1,Airway_Goblet_Cell
2,Alveolar_Capillary_Endothelial_Cell
3,Alveolar_Type_1_AT1_Cell
4,Alveolar_Type_2_AT2_Cell
5,"Alverolar_Type_2,Immune"
6,Astrocyte_1
7,Astrocyte_2
8,Atrial_Cardiomyocyte
9,Basal_Epidermal_Skin
10,Basal_Epithelial_Mammary
11,Blood_Brain_Barrier_Endothelial_Cell
12,"CNS,Enteric_Neuron"
13,Cardiac_Fibroblasts
14,Cardiac_Pericyte_1
15,Cardiac_Pericyte_2
16,Cardiac_Pericyte_3
17,Cardiac_Pericyte_4
18,Chief_Cell
19,Cilliated_Cell
20,Club_Cell
21,Colon_Epithelial_Cell_1
22,Colon_Epithelial_Cell_2
23,Colon_Epithelial_Cell_3
24,Colonic_Goblet_Cell
25,Cortical_Epithelial-like
26,Ductal_Cell_Pancreatic
27,Eccrine_Epidermal_Skin
28,Endocardial_Cell
29,Endothelial_Cell_General_1
30,Endothelial_Cell_General_2
31,Endothelial_Cell_General_3
32,Endothelial_Cell_Myocardial
33,Endothelial_Exocrine_Tissues
34,Enterochromaffin_Cell
35,Esophageal_Epithelial_Cell
36,Fetal_Adrenal_Chromaffin_Cell
37,Fetal_Adrenal_Cortical_Cell
38,Fetal_Adrenal_Neuron
39,Fetal_Adrenal_Sympathoblasts
40,Fetal_Alveolar_Endothelial_Cell
41,Fetal_Astrocyte_1
42,Fetal_Astrocyte_2
43,Fetal_Astrocyte_3
44,Fetal_Astrocyte_4
45,Fetal_Astrocyte_5
46,Fetal_Atrial_Cardiomyocyte
47,Fetal_B_Lymphocyte_1_SPIB+
48,Fetal_B_Lymphocyte_2_CXCR5+
49,Fetal_B_Lymphocyte_3_NPY+
50,Fetal_Broncial_and_Alveolar_Epithelial_Cell_1
51,Fetal_Broncial_and_Alveolar_Epithelial_Cell_2
52,Fetal_Cardiac_Fibroblast
53,Fetal_Cholangiocytes
54,Fetal_Cilliated_Epithelial_Cell
55,Fetal_Endocardial_Cell
56,Fetal_Endothelial_General_1
57,Fetal_Endothelial_General_2
58,Fetal_Endothelial_General_3
59,Fetal_Enteric_Glia
60,Fetal_Enteric_Neuron
61,Fetal_Enterocyte_1
62,Fetal_Enterocyte_2
63,Fetal_Enterocyte_3
64,Fetal_Enteroendocrine
65,Fetal_Erythroblast_1
66,Fetal_Erythroblast_2
67,Fetal_Erythroblast_3
68,Fetal_Erythroblast_4
69,Fetal_Erythroblast_5
70,Fetal_Excitatory_Neuron_1
71,Fetal_Excitatory_Neuron_10
72,Fetal_Excitatory_Neuron_11
73,Fetal_Excitatory_Neuron_12
74,Fetal_Excitatory_Neuron_2
75,Fetal_Excitatory_Neuron_3
76,Fetal_Excitatory_Neuron_4
77,Fetal_Excitatory_Neuron_5
78,Fetal_Excitatory_Neuron_6
79,Fetal_Excitatory_Neuron_7
80,Fetal_Excitatory_Neuron_8
81,Fetal_Excitatory_Neuron_9
82,Fetal_Extravillous_Trophoblast
83,Fetal_Fibroblast_Gastrointestinal
84,Fetal_Fibroblast_General_1
85,Fetal_Fibroblast_General_2
86,Fetal_Fibroblast_General_3
87,Fetal_Fibroblast_General_4
88,Fetal_Fibroblast_General_5
89,Fetal_Fibroblast_Sk_Muscle_Associated_1
90,Fetal_Fibroblast_Splenic
