cell_type,chrom,start,end,length_bp,n_ccre,tau_specificity,ccre_ids,target_gene,gene_dist_bp,gene_link_method,gene_expr_specificity,specificity_per_bp,composite_score,motif_score,composite_rank,mouse_ortholog,human_gene_spec,mouse_gene_spec,conservation_score,translatability_flag,conservation_method
Fetal_Metanephric_Cell,chr5,151027959,151028359,400,1,0.9909502262443439,cCRE666444,GPX3,7568.0,nearest_TSS_gencode_v44,1.0,0.0024773755656108598,0.9909502262443439,,1,Gpx3,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr5,150987730,150988130,400,1,0.9819004524886877,cCRE666420,GPX3,32661.0,nearest_TSS_gencode_v44,1.0,0.0024547511312217195,0.9819004524886877,,2,Gpx3,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr5,151036571,151036971,400,1,0.9683257918552036,cCRE666450,GPX3,16180.0,nearest_TSS_gencode_v44,1.0,0.002420814479638009,0.9683257918552036,,3,Gpx3,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr5,151051176,151051576,400,1,0.9638009049773756,cCRE666461,GPX3,30785.0,nearest_TSS_gencode_v44,1.0,0.002409502262443439,0.9638009049773756,,4,Gpx3,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr5,151042467,151042867,400,1,0.9411764705882353,cCRE666457,GPX3,22076.0,nearest_TSS_gencode_v44,1.0,0.002352941176470588,0.9411764705882353,,5,Gpx3,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr5,151014410,151014810,400,1,0.9321266968325792,cCRE1090248,GPX3,5981.0,nearest_TSS_gencode_v44,1.0,0.002330316742081448,0.9321266968325792,,6,Gpx3,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr1,47201176,47201576,400,1,0.9502262443438914,cCRE17490,PDZK1IP1,10332.0,nearest_TSS_gencode_v44,0.6441716211195145,0.0023755656108597283,0.7811675122966019,,7,Pdzk1ip1,0.6441716211195145,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr1,47208382,47208782,400,1,0.9411764705882353,cCRE896722,PDZK1IP1,17538.0,nearest_TSS_gencode_v44,0.6441716211195145,0.002352941176470588,0.7737278217033009,,8,Pdzk1ip1,0.6441716211195145,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr1,47191511,47191911,400,1,0.9321266968325792,cCRE17487,PDZK1IP1,667.0,nearest_TSS_gencode_v44,0.6441716211195145,0.002330316742081448,0.76628813111,,9,Pdzk1ip1,0.6441716211195145,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr20,57550977,57551377,400,1,0.9864253393665159,cCRE477972,PCK1,9903.0,nearest_TSS_gencode_v44,0.551889709413575,0.00246606334841629,0.7654116666338447,,10,Pck1,0.551889709413575,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
