cell_type,chrom,start,end,length_bp,n_ccre,tau_specificity,ccre_ids,target_gene,gene_dist_bp,gene_link_method,gene_expr_specificity,specificity_per_bp,composite_score,motif_score,composite_rank,mouse_ortholog,human_gene_spec,mouse_gene_spec,conservation_score,translatability_flag,conservation_method
Pancreatic_Beta_Cell,chr11,2161090,2161490,400,1,0.9864253393665159,cCRE119781,INS,69.0,nearest_TSS_gencode_v44,1.0,0.00246606334841629,0.9864253393665159,,1,Ins2,1.0,1.0,1.0,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr11,2163559,2163959,400,1,0.9864253393665159,cCRE119783,INS,2538.0,nearest_TSS_gencode_v44,1.0,0.00246606334841629,0.9864253393665159,,2,Ins2,1.0,1.0,1.0,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,21370577,21370977,400,1,1.0,cCRE169632,IAPP,15818.0,nearest_TSS_gencode_v44,0.5757389596380287,0.0025,0.7878694798190143,,3,Iapp,0.5757389596380287,0.8076755873920528,0.5757389596380287,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,21374677,21375077,400,1,1.0,cCRE169634,IAPP,19918.0,nearest_TSS_gencode_v44,0.5757389596380287,0.0025,0.7878694798190143,,4,Iapp,0.5757389596380287,0.8076755873920528,0.5757389596380287,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,21380637,21381037,400,1,1.0,cCRE169636,IAPP,25878.0,nearest_TSS_gencode_v44,0.5757389596380287,0.0025,0.7878694798190143,,5,Iapp,0.5757389596380287,0.8076755873920528,0.5757389596380287,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,21308770,21309170,400,1,0.995475113122172,cCRE169613,IAPP,45989.0,nearest_TSS_gencode_v44,0.5757389596380287,0.0024886877828054297,0.78430445954834,,6,Iapp,0.5757389596380287,0.8076755873920528,0.5757389596380287,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,21377325,21377725,400,1,0.995475113122172,cCRE169635,IAPP,22566.0,nearest_TSS_gencode_v44,0.5757389596380287,0.0024886877828054297,0.78430445954834,,7,Iapp,0.5757389596380287,0.8076755873920528,0.5757389596380287,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,21369117,21369517,400,1,0.9909502262443439,cCRE169631,IAPP,14358.0,nearest_TSS_gencode_v44,0.5757389596380287,0.0024773755656108598,0.7807394392776659,,8,Iapp,0.5757389596380287,0.8076755873920528,0.5757389596380287,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,21372582,21372982,400,1,0.9909502262443439,cCRE169633,IAPP,17823.0,nearest_TSS_gencode_v44,0.5757389596380287,0.0024773755656108598,0.7807394392776659,,9,Iapp,0.5757389596380287,0.8076755873920528,0.5757389596380287,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,21341807,21342207,400,1,0.9819004524886877,cCRE169625,IAPP,12952.0,nearest_TSS_gencode_v44,0.5757389596380287,0.0024547511312217195,0.7736093987363172,,10,Iapp,0.5757389596380287,0.8076755873920528,0.5757389596380287,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,21350972,21351372,400,1,0.9728506787330317,cCRE169626,IAPP,3787.0,nearest_TSS_gencode_v44,0.5757389596380287,0.0024321266968325792,0.7664793581949687,,11,Iapp,0.5757389596380287,0.8076755873920528,0.5757389596380287,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,21334933,21335333,400,1,0.9547511312217195,cCRE169620,IAPP,19826.0,nearest_TSS_gencode_v44,0.5757389596380287,0.0023868778280542987,0.7522192771122717,,12,Iapp,0.5757389596380287,0.8076755873920528,0.5757389596380287,conserved,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr1,187930028,187930428,400,1,1.0,cCRE54936,NA,1101279.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,13,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr1,188514933,188515333,400,1,1.0,cCRE54995,NA,1686184.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,14,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr1,194227154,194227554,400,1,1.0,cCRE56161,NA,1040741.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,15,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr1,194447582,194447982,400,1,1.0,cCRE56191,NA,1261169.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,16,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr1,194774520,194774920,400,1,1.0,cCRE56230,NA,1588107.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,17,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr1,195428286,195428686,400,1,1.0,cCRE56313,NA,1180739.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,18,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr10,9376570,9376970,400,1,1.0,cCRE78742,NA,1331392.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,19,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr10,64773324,64773724,400,1,1.0,cCRE95554,NA,1251674.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,20,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr11,81440038,81440438,400,1,1.0,cCRE144337,NA,1293626.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,21,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr11,84322214,84322614,400,1,1.0,cCRE145145,NA,1036024.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,22,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,61037781,61038181,400,1,1.0,cCRE181646,NA,1222357.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,23,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr12,83817762,83818162,400,1,1.0,cCRE188293,NA,1095667.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,24,NA,,,,unlinked,gene_level_ortholog_expression_concordance
Pancreatic_Beta_Cell,chr13,55055676,55056076,400,1,1.0,cCRE218089,NA,2027063.0,nearest_TSS_gencode_v44,0.5,0.0025,0.75,,25,NA,,,,unlinked,gene_level_ortholog_expression_concordance
