chrom	tss	strand	gene_name	gene_type
chr1	65419	+	OR4F5	protein_coding
chr1	451678	-	OR4F29	protein_coding
chr1	686654	-	OR4F16	protein_coding
chr1	923923	+	SAMD11	protein_coding
chr1	959309	-	NOC2L	protein_coding
chr1	960584	+	KLHL17	protein_coding
chr1	966482	+	PLEKHN1	protein_coding
chr1	982117	-	PERM1	protein_coding
chr1	1000172	-	HES4	protein_coding
chr1	1001138	+	ISG15	protein_coding
chr1	1020120	+	AGRN	protein_coding
chr1	1074306	-	RNF223	protein_coding
chr1	1116361	-	C1orf159	protein_coding
chr1	1173880	+	TTLL10	protein_coding
chr1	1206592	-	TNFRSF18	protein_coding
chr1	1214153	-	TNFRSF4	protein_coding
chr1	1232031	-	SDF4	protein_coding
chr1	1232237	+	B3GALT6	protein_coding
chr1	1246722	-	C1QTNF12	protein_coding
chr1	1273864	-	UBE2J2	protein_coding
chr1	1280436	+	SCNN1D	protein_coding
chr1	1309609	-	ACAP3	protein_coding
chr1	1308597	+	PUSL1	protein_coding
chr1	1324687	-	INTS11	protein_coding
chr1	1324756	+	CPTP	protein_coding
chr1	1331280	+	TAS1R3	protein_coding
chr1	1349418	-	DVL1	protein_coding
chr1	1361777	-	MXRA8	protein_coding
chr1	1375207	-	AURKAIP1	protein_coding
chr1	1399335	-	CCNL2	protein_coding
chr1	1407293	-	MRPL20	protein_coding
chr1	1421769	-	ANKRD65	protein_coding
chr1	1425871	+	TMEM88B	protein_coding
chr1	1434861	+	VWA1	protein_coding
chr1	1449689	+	ATAD3C	protein_coding
chr1	1471765	+	ATAD3B	protein_coding
chr1	1512162	+	ATAD3A	protein_coding
chr1	1540624	-	TMEM240	protein_coding
chr1	1574863	-	SSU72	protein_coding
chr1	1600135	-	FNDC10	protein_coding
chr1	1615454	+	MIB2	protein_coding
chr1	1632163	+	MMP23B	protein_coding
chr1	1659012	-	CDK11B	protein_coding
chr1	1692795	-	SLC35E2B	protein_coding
chr1	1724357	-	CDK11A	protein_coding
chr1	1780457	-	NADK	protein_coding
chr1	1892292	-	GNB1	protein_coding
chr1	1915108	+	CALML6	protein_coding
chr1	1919279	-	TMEM52	protein_coding
chr1	2003837	-	CFAP74	protein_coding
chr1	2019329	+	GABRD	protein_coding
chr1	2050411	+	PRKCZ	protein_coding
chr1	2212720	-	FAAP20	protein_coding
chr1	2227388	+	SKI	protein_coding
chr1	2391707	-	MORN1	protein_coding
chr1	2391775	+	RER1	protein_coding
chr1	2413797	-	PEX10	protein_coding
chr1	2425980	+	PLCH2	protein_coding
chr1	2526597	-	PANK4	protein_coding
chr1	2530263	-	HES5	protein_coding
chr1	2555639	+	TNFRSF14	protein_coding
chr1	2586491	+	PRXL2B	protein_coding
chr1	2633016	-	MMEL1	protein_coding
chr1	2801693	-	TTC34	protein_coding
chr1	3021467	+	ACTRT2	protein_coding
chr1	3069168	+	PRDM16	protein_coding
chr1	3454665	+	ARHGEF16	protein_coding
chr1	3611508	-	MEGF6	protein_coding
chr1	3625015	+	TPRG1L	protein_coding
chr1	3652761	-	WRAP73	protein_coding
chr1	3652516	+	TP73	protein_coding
chr1	3746460	+	CCDC27	protein_coding
chr1	3772749	+	SMIM1	protein_coding
chr1	3796498	-	LRRC47	protein_coding
chr1	3857396	-	CEP104	protein_coding
chr1	3857267	+	DFFB	protein_coding
chr1	3900293	-	C1orf174	protein_coding
chr1	4654609	+	AJAP1	protein_coding
chr1	5992473	-	NPHP4	protein_coding
chr1	5990927	+	KCNAB2	protein_coding
chr1	6180321	-	CHD5	protein_coding
chr1	6197757	-	ENSG00000285629	protein_coding
chr1	6209389	-	RPL22	protein_coding
chr1	6205475	+	RNF207	protein_coding
chr1	6235972	-	ICMT	protein_coding
chr1	6244179	+	HES3	protein_coding
chr1	6261098	-	GPR153	protein_coding
chr1	6393767	-	ACOT7	protein_coding
chr1	6424670	-	HES2	protein_coding
chr1	6424776	+	ESPN	protein_coding
chr1	6466175	-	TNFRSF25	protein_coding
chr1	6520074	-	PLEKHG5	protein_coding
chr1	6554513	-	NOL9	protein_coding
chr1	6555307	+	TAS1R1	protein_coding
chr1	6579994	+	ZBTB48	protein_coding
chr1	6614607	-	KLHL21	protein_coding
chr1	6613731	+	PHF13	protein_coding
chr1	6624868	+	THAP3	protein_coding
chr1	6701924	-	DNAJC11	protein_coding
chr1	6785454	+	CAMTA1	protein_coding
chr1	7771296	+	VAMP3	protein_coding
chr1	7784291	+	PER3	protein_coding
chr1	7853512	-	UTS2	protein_coding
chr1	7943165	-	TNFRSF9	protein_coding
chr1	7954291	+	PARK7	protein_coding
chr1	8026309	-	ERRFI1	protein_coding
chr1	8318114	+	SLC45A1	protein_coding
chr1	8848921	-	RERE	protein_coding
chr1	8879190	-	ENO1	protein_coding
chr1	8945867	+	CA6	protein_coding
chr1	9026423	-	SLC2A7	protein_coding
chr1	9088478	-	SLC2A5	protein_coding
chr1	9129102	-	GPR157	protein_coding
chr1	9234774	+	H6PD	protein_coding
chr1	9292894	+	SPSB1	protein_coding
chr1	9539465	+	SLC25A33	protein_coding
chr1	9588911	+	TMEM201	protein_coding
chr1	9629889	+	PIK3CD	protein_coding
chr1	9823984	-	CLSTN1	protein_coding
chr1	9910336	-	CTNNBIP1	protein_coding
chr1	9943407	-	LZIC	protein_coding
chr1	9943428	+	NMNAT1	protein_coding
chr1	9997206	+	RBP7	protein_coding
chr1	10032832	+	UBE4B	protein_coding
chr1	10210570	+	KIF1B	protein_coding
chr1	10398592	+	PGD	protein_coding
chr1	10430102	+	CENPS-CORT	protein_coding
chr1	10430433	+	CENPS	protein_coding
chr1	10450031	+	CORT	protein_coding
chr1	10472529	-	DFFA	protein_coding
chr1	10472288	+	PEX14	protein_coding
chr1	10796650	-	CASZ1	protein_coding
chr1	10982076	-	C1orf127	protein_coding
chr1	11012344	+	TARDBP	protein_coding
chr1	11047239	-	MASP2	protein_coding
chr1	11060020	-	SRM	protein_coding
chr1	11099869	-	EXOSC10	protein_coding
chr1	11262556	-	MTOR	protein_coding
chr1	11189355	+	ANGPTL7	protein_coding
chr1	11273198	+	UBIAD1	protein_coding
chr1	11479155	+	DISP3	protein_coding
chr1	11655785	-	FBXO2	protein_coding
chr1	11654375	+	FBXO44	protein_coding
chr1	11691811	-	MAD2L2	protein_coding
chr1	11664200	+	FBXO6	protein_coding
chr1	11691710	+	DRAXIN	protein_coding
chr1	11736084	+	AGTRAP	protein_coding
chr1	11761787	+	C1orf167	protein_coding
chr1	11806455	-	MTHFR	protein_coding
chr1	11806096	+	CLCN6	protein_coding
chr1	11848345	-	NPPA	protein_coding
chr1	11858945	-	NPPB	protein_coding
chr1	11926428	-	KIAA2013	protein_coding
chr1	11934205	+	PLOD1	protein_coding
chr1	11980181	+	MFN2	protein_coding
chr1	12019466	+	MIIP	protein_coding
chr1	12063303	+	TNFRSF8	protein_coding
chr1	12166991	+	TNFRSF1B	protein_coding
chr1	12230030	+	VPS13D	protein_coding
chr1	12618210	-	DHRS3	protein_coding
chr1	12644085	+	AADACL4	protein_coding
chr1	12716110	+	AADACL3	protein_coding
chr1	12746200	+	CFAP107	protein_coding
chr1	12773738	+	PRAMEF12	protein_coding
chr1	12791397	+	PRAMEF1	protein_coding
chr1	12831410	-	PRAMEF11	protein_coding
chr1	12848720	-	HNRNPCL1	protein_coding
chr1	12857086	+	PRAMEF2	protein_coding
chr1	12886201	-	PRAMEF4	protein_coding
chr1	12898270	-	PRAMEF10	protein_coding
chr1	12916610	+	PRAMEF7	protein_coding
chr1	12947580	-	PRAMEF6	protein_coding
chr1	13056575	-	PRAMEF27	protein_coding
chr1	13060769	+	HNRNPCL3	protein_coding
chr1	13068677	+	PRAMEF25	protein_coding
chr1	13116854	-	HNRNPCL2	protein_coding
chr1	13158116	-	PRAMEF26	protein_coding
chr1	13165631	-	HNRNPCL4	protein_coding
chr1	13171848	+	PRAMEF9	protein_coding
chr1	13201409	-	PRAMEF13	protein_coding
chr1	13226154	-	PRAMEF18	protein_coding
chr1	13254198	+	PRAMEF5	protein_coding
chr1	13285137	-	PRAMEF8	protein_coding
chr1	13303539	+	PRAMEF33	protein_coding
chr1	13315581	+	PRAMEF15	protein_coding
chr1	13347134	-	PRAMEF14	protein_coding
chr1	13371947	-	PRAMEF19	protein_coding
chr1	13389632	+	PRAMEF17	protein_coding
chr1	13410450	+	PRAMEF20	protein_coding
chr1	13514003	-	LRRC38	protein_coding
chr1	13583465	+	PDPN	protein_coding
chr1	13700188	+	PRDM2	protein_coding
chr1	13892792	+	KAZN	protein_coding
chr1	15152532	+	TMEM51	protein_coding
chr1	15236521	+	FHAD1	protein_coding
chr1	15409888	+	EFHD2	protein_coding
chr1	15438442	+	CTRC	protein_coding
chr1	15456728	+	CELA2A	protein_coding
chr1	15465909	+	CELA2B	protein_coding
chr1	15526534	-	CASP9	protein_coding
chr1	15526813	+	DNAJC16	protein_coding
chr1	15585051	-	AGMAT	protein_coding
chr1	15617458	+	DDI2	protein_coding
chr1	15659713	+	RSC1A1	protein_coding
chr1	15684320	+	PLEKHM2	protein_coding
chr1	15736258	+	SLC25A34	protein_coding
chr1	15742499	+	TMEM82	protein_coding
chr1	15756607	+	FBLIM1	protein_coding
chr1	15809348	-	UQCRHL	protein_coding
chr1	15836095	+	SPEN	protein_coding
chr1	15976132	-	ZBTB17	protein_coding
chr1	16004236	+	SRARP	protein_coding
